msn,work_order,point_id,rail,dx_value (mm),dy_value (mm),dz_value (mm)
11668,1017286801,FR035_MR0254R_RJ_0001_NFF,254R,0.84,0.96,-1.65
11668,1017286801,FR035_MR0765L_SJ_0007_NFF,765L,0.31,1.82,-0.32
11668,1017286801,FR035_MR0765R_SJ_0007_NFF,765R,-0.88,2.09,-0.86
11669,1017343865,FR035_MR1292L_SJ_0015_NFF,1292L,-0.52,0.83,1.82
11669,1017343865,FR035_MR1292R_SJ_0015_NFF,1292R,0.52,-0.09,-0.65
11669,1017343865,FR035_MR0254L_RJ_0001_NFF,254L,0.05,0.80,-1.48
11669,1017343865,FR035_MR0254R_RJ_0001_NFF,254R,-0.58,0.97,-1.92
11669,1017343865,FR035_MR0765L_SJ_0007_NFF,765L,-0.23,-1.54,-0.05
11669,1017343865,FR035_MR0765R_SJ_0007_NFF,765R,-0.24,0.12,-0.04
11672,1016663754,FR035_MR1292L_SJ_0015_NFF,1292L,0.45,0.88,0.19
11672,1016663754,FR035_MR1292R_SJ_0015_NFF,1292R,-0.45,-1.27,0.30
11672,1016663754,FR035_MR0254L_RJ_0001_NFF,254L,-0.04,1.55,-0.20
11672,1016663754,FR035_MR0254R_RJ_0001_NFF,254R,-0.48,1.63,-0.33
11672,1016663754,FR035_MR0765L_SJ_0007_NFF,765L,0.05,-0.74,-0.01
11672,1016663754,FR035_MR0765R_SJ_0007_NFF,765R,-1.26,0.49,0.79
11674,1016681545,FR035_MR1292L_SJ_0015_NFF,1292L,0.05,-0.04,-0.47
11674,1016681545,FR035_MR1292R_SJ_0015_NFF,1292R,-0.05,-0.64,-0.19
11674,1016681545,FR035_MR0254L_RJ_0001_NFF,254L,0.46,0.93,-1.12
11674,1016681545,FR035_MR0254R_RJ_0001_NFF,254R,0.60,-1.29,-1.05
11674,1016681545,FR035_MR0765L_SJ_0007_NFF,765L,-0.27,-0.53,0.25
11674,1016681545,FR035_MR0765R_SJ_0007_NFF,765R,-0.28,-2.34,-0.11
11677,1016706974,FR035_MR1292L_SJ_0015_NFF,1292L,0.12,0.82,0.48
11677,1016706974,FR035_MR1292R_SJ_0015_NFF,1292R,-0.12,-1.05,-0.16
11677,1016706974,FR035_MR0254L_RJ_0001_NFF,254L,0.12,2.40,-1.63
11677,1016706974,FR035_MR0254R_RJ_0001_NFF,254R,0.10,-0.41,-1.87
11677,1016706974,FR035_MR0765L_SJ_0007_NFF,765L,-0.13,0.39,-0.85
11677,1016706974,FR035_MR0765R_SJ_0007_NFF,765R,-0.80,0.29,-0.35
11681,1017420011,FR035_MR1292L_SJ_0015_NFF,1292L,0.28,-0.10,0.17
11681,1017420011,FR035_MR1292R_SJ_0015_NFF,1292R,-0.28,0.88,-1.07
11681,1017420011,FR035_MR0254L_RJ_0001_NFF,254L,-0.63,-0.08,-0.97
11681,1017420011,FR035_MR0254R_RJ_0001_NFF,254R,-0.61,-0.68,-0.93
11681,1017420011,FR035_MR0765L_SJ_0007_NFF,765L,-0.62,0.09,-0.61
11681,1017420011,FR035_MR0765R_SJ_0007_NFF,765R,-0.58,-0.03,-0.51
11682,1017513643,FR035_MR1292L_SJ_0015_NFF,1292L,0.16,0.75,-1.60
11682,1017513643,FR035_MR1292R_SJ_0015_NFF,1292R,-0.16,-2.50,0.01
11682,1017513643,FR035_MR0254L_RJ_0001_NFF,254L,0.05,-0.54,-4.68
11682,1017513643,FR035_MR0254R_RJ_0001_NFF,254R,0.41,-0.70,-4.14
11682,1017513643,FR035_MR0765L_SJ_0007_NFF,765L,-0.09,-1.90,-2.56
11682,1017513643,FR035_MR0765R_SJ_0007_NFF,765R,-0.61,-2.47,-2.72
11683,1016758209,FR035_MR1292L_SJ_0015_NFF,1292L,-0.11,1.99,1.07
11683,1016758209,FR035_MR1292R_SJ_0015_NFF,1292R,0.11,0.56,-0.01
11683,1016758209,FR035_MR0254L_RJ_0001_NFF,254L,0.48,3.16,-2.00
11683,1016758209,FR035_MR0254R_RJ_0001_NFF,254R,-0.24,0.02,-2.36
11683,1016758209,FR035_MR0765L_SJ_0007_NFF,765L,-0.44,0.58,-0.31
11683,1016758209,FR035_MR0765R_SJ_0007_NFF,765R,-1.06,0.94,-1.44
11685,1016758215,FR035_MR1292L_SJ_0015_NFF,1292L,0.08,1.35,0.87
11685,1016758215,FR035_MR1292R_SJ_0015_NFF,1292R,-0.08,-1.51,1.06
11685,1016758215,FR035_MR0254L_RJ_0001_NFF,254L,0.42,1.09,-0.72
11685,1016758215,FR035_MR0254R_RJ_0001_NFF,254R,-0.23,-2.82,-0.71
11685,1016758215,FR035_MR0765L_SJ_0007_NFF,765L,0.15,0.57,0.33
11685,1016758215,FR035_MR0765R_SJ_0007_NFF,765R,-0.68,-0.44,0.00
11688,1016768835,FR035_MR1292L_SJ_0015_NFF,1292L,0.35,2.90,0.77
11688,1016768835,FR035_MR1292R_SJ_0015_NFF,1292R,-0.35,-1.14,0.81
11688,1016768835,FR035_MR0254L_RJ_0001_NFF,254L,0.30,1.99,-1.04
11688,1016768835,FR035_MR0254R_RJ_0001_NFF,254R,-0.11,0.99,-1.58
11688,1016768835,FR035_MR0765L_SJ_0007_NFF,765L,-0.13,0.24,-0.11
11688,1016768835,FR035_MR0765R_SJ_0007_NFF,765R,-0.40,0.47,0.11
11691,1016908240,FR035_MR1292L_SJ_0015_NFF,1292L,0.50,-0.37,-0.31
11691,1016908240,FR035_MR1292R_SJ_0015_NFF,1292R,-0.50,-0.59,0.00
11691,1016908240,FR035_MR0254L_RJ_0001_NFF,254L,-0.04,1.11,-1.69
11691,1016908240,FR035_MR0254R_RJ_0001_NFF,254R,-0.86,-0.66,-1.52
11691,1016908240,FR035_MR0765L_SJ_0007_NFF,765L,-0.24,0.83,-1.31
11691,1016908240,FR035_MR0765R_SJ_0007_NFF,765R,-1.79,-0.67,-1.09
11697,1016973215,FR035_MR1292L_SJ_0015_NFF,1292L,0.45,0.65,0.84
11697,1016973215,FR035_MR1292R_SJ_0015_NFF,1292R,-0.45,-1.07,0.02
11697,1016973215,FR035_MR0254L_RJ_0001_NFF,254L,0.26,-0.12,-1.80
11697,1016973215,FR035_MR0254R_RJ_0001_NFF,254R,-0.93,0.95,-2.21
11697,1016973215,FR035_MR0765L_SJ_0007_NFF,765L,-0.17,0.22,0.70
11697,1016973215,FR035_MR0765R_SJ_0007_NFF,765R,-0.81,-1.91,-0.24
11700,1017625963,FR035_MR1292L_SJ_0015_NFF,1292L,0.38,0.29,0.33
11700,1017625963,FR035_MR1292R_SJ_0015_NFF,1292R,-0.38,-0.83,-0.14
11700,1017625963,FR035_MR0254L_RJ_0001_NFF,254L,0.11,0.59,-0.91
11700,1017625963,FR035_MR0254R_RJ_0001_NFF,254R,0.39,-0.82,-1.78
11700,1017625963,FR035_MR0765L_SJ_0007_NFF,765L,0.15,0.40,0.04
11700,1017625963,FR035_MR0765R_SJ_0007_NFF,765R,-1.24,-1.05,0.12
11703,1016810166,FR035_MR1292L_SJ_0015_NFF,1292L,-0.12,0.48,0.71
11703,1016810166,FR035_MR1292R_SJ_0015_NFF,1292R,0.12,-0.10,0.50
11703,1016810166,FR035_MR0254L_RJ_0001_NFF,254L,0.10,-0.58,-1.13
11703,1016810166,FR035_MR0254R_RJ_0001_NFF,254R,-0.09,-2.84,-1.45
11703,1016810166,FR035_MR0765L_SJ_0007_NFF,765L,-0.30,0.99,0.01
11703,1016810166,FR035_MR0765R_SJ_0007_NFF,765R,0.03,-2.01,-0.36
11705,1016843630,FR035_MR1292L_SJ_0015_NFF,1292L,-0.09,1.84,1.99
11705,1016843630,FR035_MR1292R_SJ_0015_NFF,1292R,0.09,-0.53,0.52
11705,1016843630,FR035_MR0254L_RJ_0001_NFF,254L,0.59,0.89,-1.75
11705,1016843630,FR035_MR0254R_RJ_0001_NFF,254R,-0.53,-0.51,-2.20
11705,1016843630,FR035_MR0765L_SJ_0007_NFF,765L,0.20,0.31,0.03
11705,1016843630,FR035_MR0765R_SJ_0007_NFF,765R,-0.09,0.66,-0.88
11707,1016843632,FR035_MR1292L_SJ_0015_NFF,1292L,-0.41,2.05,0.86
11707,1016843632,FR035_MR1292R_SJ_0015_NFF,1292R,0.41,-0.83,-0.58
11707,1016843632,FR035_MR0254L_RJ_0001_NFF,254L,0.42,1.58,-1.10
11707,1016843632,FR035_MR0254R_RJ_0001_NFF,254R,-0.81,0.16,-0.60
11707,1016843632,FR035_MR0765L_SJ_0007_NFF,765L,-0.27,1.31,-0.66
11707,1016843632,FR035_MR0765R_SJ_0007_NFF,765R,0.26,0.36,0.77
11711,1016851470,FR035_MR1292L_SJ_0015_NFF,1292L,-0.14,0.68,0.38
11711,1016851470,FR035_MR1292R_SJ_0015_NFF,1292R,0.14,0.05,-0.06
11711,1016851470,FR035_MR0254L_RJ_0001_NFF,254L,-0.13,0.40,-2.17
11711,1016851470,FR035_MR0254R_RJ_0001_NFF,254R,-0.94,0.25,-2.30
11711,1016851470,FR035_MR0765L_SJ_0007_NFF,765L,-0.49,0.55,-1.33
11711,1016851470,FR035_MR0765R_SJ_0007_NFF,765R,-0.04,-1.30,-0.37
11713,1017543051,FR035_MR1292L_SJ_0015_NFF,1292L,0.26,0.51,-1.38
11713,1017543051,FR035_MR1292R_SJ_0015_NFF,1292R,-0.26,0.33,0.60
11713,1017543051,FR035_MR0254L_RJ_0001_NFF,254L,0.87,0.78,-0.83
11713,1017543051,FR035_MR0254R_RJ_0001_NFF,254R,1.51,-0.01,-0.60
11713,1017543051,FR035_MR0765L_SJ_0007_NFF,765L,0.61,0.03,0.03
11713,1017543051,FR035_MR0765R_SJ_0007_NFF,765R,-0.63,-0.13,0.25
11714,1017390202,FR035_MR1292L_SJ_0015_NFF,1292L,0.23,-0.13,0.43
11714,1017390202,FR035_MR1292R_SJ_0015_NFF,1292R,-0.23,-0.30,0.52
11714,1017390202,FR035_MR0254L_RJ_0001_NFF,254L,0.15,0.66,-1.59
11714,1017390202,FR035_MR0254R_RJ_0001_NFF,254R,-1.44,0.00,-1.59
11714,1017390202,FR035_MR0765L_SJ_0007_NFF,765L,0.10,-0.56,-0.69
11714,1017390202,FR035_MR0765R_SJ_0007_NFF,765R,0.07,-1.71,-0.24
11716,1016880597,FR035_MR1292L_SJ_0015_NFF,1292L,-0.01,2.49,1.43
11716,1016880597,FR035_MR1292R_SJ_0015_NFF,1292R,0.01,-0.60,-0.04
11716,1016880597,FR035_MR0254L_RJ_0001_NFF,254L,1.21,2.12,-1.19
11716,1016880597,FR035_MR0254R_RJ_0001_NFF,254R,1.48,-0.41,-1.18
11716,1016880597,FR035_MR0765L_SJ_0007_NFF,765L,0.31,1.16,0.12
11716,1016880597,FR035_MR0765R_SJ_0007_NFF,765R,-2.02,-0.02,-0.18
11719,1016931031,FR035_MR1292L_SJ_0015_NFF,1292L,-0.52,-0.49,1.12
11719,1016931031,FR035_MR1292R_SJ_0015_NFF,1292R,0.52,-0.03,-0.40
11719,1016931031,FR035_MR0254L_RJ_0001_NFF,254L,-0.19,0.17,0.61
11719,1016931031,FR035_MR0254R_RJ_0001_NFF,254R,-0.33,-0.04,-0.78
11719,1016931031,FR035_MR0765L_SJ_0007_NFF,765L,-0.56,0.10,0.92
11719,1016931031,FR035_MR0765R_SJ_0007_NFF,765R,-0.40,-0.24,-0.60
11721,1017778177,FR035_MR1292L_SJ_0015_NFF,1292L,0.06,-0.22,1.03
11721,1017778177,FR035_MR1292R_SJ_0015_NFF,1292R,-0.06,-1.28,-0.36
11721,1017778177,FR035_MR0254L_RJ_0001_NFF,254L,0.53,0.61,-1.17
11721,1017778177,FR035_MR0254R_RJ_0001_NFF,254R,0.36,-0.65,-1.39
11721,1017778177,FR035_MR0765L_SJ_0007_NFF,765L,-0.23,-1.25,0.48
11721,1017778177,FR035_MR0765R_SJ_0007_NFF,765R,-1.30,-1.11,-0.23
11722,1016810169,FR035_MR1292L_SJ_0015_NFF,1292L,-0.26,-0.22,1.25
11722,1016810169,FR035_MR1292R_SJ_0015_NFF,1292R,0.26,-0.75,0.75
11722,1016810169,FR035_MR0254L_RJ_0001_NFF,254L,0.26,1.36,-1.04
11722,1016810169,FR035_MR0254R_RJ_0001_NFF,254R,0.00,-2.46,-1.95
11722,1016810169,FR035_MR0765L_SJ_0007_NFF,765L,0.67,0.38,0.46
11722,1016810169,FR035_MR0765R_SJ_0007_NFF,765R,0.45,-0.02,0.13
11728,1016973219,FR035_MR1292L_SJ_0015_NFF,1292L,0.49,0.39,1.04
11728,1016973219,FR035_MR1292R_SJ_0015_NFF,1292R,-0.49,-1.14,0.45
11728,1016973219,FR035_MR0254L_RJ_0001_NFF,254L,0.26,0.74,-1.59
11728,1016973219,FR035_MR0254R_RJ_0001_NFF,254R,-0.88,1.21,-1.29
11728,1016973219,FR035_MR0765L_SJ_0007_NFF,765L,-0.01,1.20,-0.32
11728,1016973219,FR035_MR0765R_SJ_0007_NFF,765R,-0.88,0.45,-0.17
11733,1017329282,FR035_MR1292L_SJ_0015_NFF,1292L,0.27,0.04,0.55
11733,1017329282,FR035_MR1292R_SJ_0015_NFF,1292R,-0.27,-1.07,-0.28
11733,1017329282,FR035_MR0254L_RJ_0001_NFF,254L,0.01,-0.49,-1.56
11733,1017329282,FR035_MR0254R_RJ_0001_NFF,254R,-0.85,-1.83,-1.41
11733,1017329282,FR035_MR0765L_SJ_0007_NFF,765L,-0.37,-1.58,0.44
11733,1017329282,FR035_MR0765R_SJ_0007_NFF,765R,-0.41,-0.40,-1.11
11735,1017371322,FR035_MR1292L_SJ_0015_NFF,1292L,-0.40,-1.17,0.42
11735,1017371322,FR035_MR1292R_SJ_0015_NFF,1292R,0.40,-0.95,0.38
11735,1017371322,FR035_MR0254L_RJ_0001_NFF,254L,-0.11,-0.48,-1.26
11735,1017371322,FR035_MR0254R_RJ_0001_NFF,254R,0.27,0.28,-1.18
11735,1017371322,FR035_MR0765L_SJ_0007_NFF,765L,-0.61,-0.13,-0.88
11735,1017371322,FR035_MR0765R_SJ_0007_NFF,765R,0.17,-0.81,-0.30
11736,1016985149,FR035_MR1292L_SJ_0015_NFF,1292L,-0.10,1.30,-0.38
11736,1016985149,FR035_MR1292R_SJ_0015_NFF,1292R,0.10,-0.10,0.51
11736,1016985149,FR035_MR0254L_RJ_0001_NFF,254L,0.66,2.60,-2.06
11736,1016985149,FR035_MR0254R_RJ_0001_NFF,254R,-0.39,0.17,-2.31
11736,1016985149,FR035_MR0765L_SJ_0007_NFF,765L,-0.08,0.62,-0.61
11736,1016985149,FR035_MR0765R_SJ_0007_NFF,765R,-0.18,0.85,-0.35
11739,1017579426,FR035_MR1292L_SJ_0015_NFF,1292L,-0.01,-0.50,0.46
11739,1017579426,FR035_MR1292R_SJ_0015_NFF,1292R,0.01,-1.25,-0.08
11739,1017579426,FR035_MR0254L_RJ_0001_NFF,254L,-0.13,0.59,-1.12
11739,1017579426,FR035_MR0254R_RJ_0001_NFF,254R,0.00,-2.58,-0.85
11739,1017579426,FR035_MR0765L_SJ_0007_NFF,765L,-0.11,0.52,0.22
11739,1017579426,FR035_MR0765R_SJ_0007_NFF,765R,-0.81,-2.50,0.29
11740,1017732425,FR035_MR1292L_SJ_0015_NFF,1292L,0.04,0.13,0.41
11740,1017732425,FR035_MR1292R_SJ_0015_NFF,1292R,-0.04,-0.32,-0.22
11740,1017732425,FR035_MR0254L_RJ_0001_NFF,254L,0.22,0.69,-0.79
11740,1017732425,FR035_MR0254R_RJ_0001_NFF,254R,0.51,-0.87,-1.75
11740,1017732425,FR035_MR0765L_SJ_0007_NFF,765L,-0.12,0.97,-0.86
11740,1017732425,FR035_MR0765R_SJ_0007_NFF,765R,0.01,0.93,0.30
11741,1017011301,FR035_MR1292L_SJ_0015_NFF,1292L,-0.04,1.67,0.53
11741,1017011301,FR035_MR1292R_SJ_0015_NFF,1292R,0.04,-0.10,-0.38
11741,1017011301,FR035_MR0254L_RJ_0001_NFF,254L,0.00,1.55,-0.41
11741,1017011301,FR035_MR0254R_RJ_0001_NFF,254R,0.59,-0.39,-0.30
11741,1017011301,FR035_MR0765L_SJ_0007_NFF,765L,-0.08,-0.15,0.02
11741,1017011301,FR035_MR0765R_SJ_0007_NFF,765R,-0.58,-0.02,0.34
11743,1017047901,FR035_MR1292L_SJ_0015_NFF,1292L,0.54,0.00,-1.03
11743,1017047901,FR035_MR1292R_SJ_0015_NFF,1292R,-0.54,-0.05,-0.29
11743,1017047901,FR035_MR0254L_RJ_0001_NFF,254L,0.03,-0.25,-1.36
11743,1017047901,FR035_MR0254R_RJ_0001_NFF,254R,0.17,-2.19,-1.93
11743,1017047901,FR035_MR0765L_SJ_0007_NFF,765L,0.08,-0.23,-0.50
11743,1017047901,FR035_MR0765R_SJ_0007_NFF,765R,-0.83,-0.63,-0.62
11746,1017047906,FR035_MR1292L_SJ_0015_NFF,1292L,-0.40,0.57,0.99
11746,1017047906,FR035_MR1292R_SJ_0015_NFF,1292R,0.40,-1.02,-0.46
11746,1017047906,FR035_MR0254L_RJ_0001_NFF,254L,0.51,2.94,-1.89
11746,1017047906,FR035_MR0254R_RJ_0001_NFF,254R,0.27,0.65,-1.42
11746,1017047906,FR035_MR0765L_SJ_0007_NFF,765L,0.03,-0.07,-0.12
11746,1017047906,FR035_MR0765R_SJ_0007_NFF,765R,0.02,0.55,-0.82
11750,1017078508,FR035_MR1292L_SJ_0015_NFF,1292L,0.07,1.11,-0.32
11750,1017078508,FR035_MR1292R_SJ_0015_NFF,1292R,-0.07,0.16,1.11
11750,1017078508,FR035_MR0254L_RJ_0001_NFF,254L,-0.53,1.59,-1.36
11750,1017078508,FR035_MR0254R_RJ_0001_NFF,254R,0.40,0.89,-1.90
11750,1017078508,FR035_MR0765L_SJ_0007_NFF,765L,0.36,1.93,0.37
11750,1017078508,FR035_MR0765R_SJ_0007_NFF,765R,-1.24,0.02,-0.86
11754,1017124785,FR035_MR1292L_SJ_0015_NFF,1292L,0.56,0.45,0.77
11754,1017124785,FR035_MR1292R_SJ_0015_NFF,1292R,-0.56,-0.53,-0.08
11754,1017124785,FR035_MR0254L_RJ_0001_NFF,254L,0.88,1.39,-2.05
11754,1017124785,FR035_MR0254R_RJ_0001_NFF,254R,-0.16,-0.69,-2.29
11754,1017124785,FR035_MR0765L_SJ_0007_NFF,765L,0.82,0.68,-0.31
11754,1017124785,FR035_MR0765R_SJ_0007_NFF,765R,-1.13,0.57,0.83
11759,1017105521,FR035_MR1292L_SJ_0015_NFF,1292L,-0.12,1.19,0.54
11759,1017105521,FR035_MR1292R_SJ_0015_NFF,1292R,0.12,-0.10,0.54
11759,1017105521,FR035_MR0254L_RJ_0001_NFF,254L,-0.25,1.79,-2.13
11759,1017105521,FR035_MR0254R_RJ_0001_NFF,254R,0.73,0.55,-2.17
11759,1017105521,FR035_MR0765L_SJ_0007_NFF,765L,-0.31,1.33,-0.78
11759,1017105521,FR035_MR0765R_SJ_0007_NFF,765R,-0.26,0.49,-0.83
11761,1017091346,FR035_MR1292L_SJ_0015_NFF,1292L,0.19,0.76,0.51
11761,1017091346,FR035_MR1292R_SJ_0015_NFF,1292R,-0.19,-0.53,0.07
11761,1017091346,FR035_MR0254L_RJ_0001_NFF,254L,0.61,0.93,-0.95
11761,1017091346,FR035_MR0254R_RJ_0001_NFF,254R,0.21,-1.73,-1.32
11761,1017091346,FR035_MR0765L_SJ_0007_NFF,765L,0.37,-0.40,0.14
11761,1017091346,FR035_MR0765R_SJ_0007_NFF,765R,-0.69,0.08,-0.05
11764,1017116505,FR035_MR1292L_SJ_0015_NFF,1292L,0.17,0.05,0.70
11764,1017116505,FR035_MR1292R_SJ_0015_NFF,1292R,-0.17,-0.69,0.23
11764,1017116505,FR035_MR0254L_RJ_0001_NFF,254L,0.24,-0.19,-1.50
11764,1017116505,FR035_MR0254R_RJ_0001_NFF,254R,-1.43,-0.71,-2.01
11764,1017116505,FR035_MR0765L_SJ_0007_NFF,765L,0.06,-0.45,-0.98
11764,1017116505,FR035_MR0765R_SJ_0007_NFF,765R,-0.24,-1.05,-1.23
11767,1017166422,FR035_MR1292L_SJ_0015_NFF,1292L,-0.05,-0.61,0.06
11767,1017166422,FR035_MR1292R_SJ_0015_NFF,1292R,0.05,0.13,-0.09
11767,1017166422,FR035_MR0254L_RJ_0001_NFF,254L,0.70,0.62,-1.99
11767,1017166422,FR035_MR0254R_RJ_0001_NFF,254R,0.11,-2.56,-2.80
11767,1017166422,FR035_MR0765L_SJ_0007_NFF,765L,0.08,-0.26,0.37
11767,1017166422,FR035_MR0765R_SJ_0007_NFF,765R,-0.44,-0.42,-1.07
11769,1017761431,FR035_MR1292L_SJ_0015_NFF,1292L,-0.49,-0.88,-0.42
11769,1017761431,FR035_MR1292R_SJ_0015_NFF,1292R,0.49,-0.71,1.61
11769,1017761431,FR035_MR0254L_RJ_0001_NFF,254L,0.64,0.54,-2.27
11769,1017761431,FR035_MR0254R_RJ_0001_NFF,254R,0.50,-0.70,-2.15
11769,1017761431,FR035_MR0765L_SJ_0007_NFF,765L,-0.20,-2.73,-1.55
11769,1017761431,FR035_MR0765R_SJ_0007_NFF,765R,0.19,-0.71,-0.07
11770,1017530686,FR035_MR1292L_SJ_0015_NFF,1292L,0.14,0.82,0.94
11770,1017530686,FR035_MR1292R_SJ_0015_NFF,1292R,-0.14,-0.67,1.09
11770,1017530686,FR035_MR0254L_RJ_0001_NFF,254L,0.78,0.68,0.10
11770,1017530686,FR035_MR0254R_RJ_0001_NFF,254R,0.47,-0.14,-0.79
11770,1017530686,FR035_MR0765L_SJ_0007_NFF,765L,0.32,0.36,0.82
11770,1017530686,FR035_MR0765R_SJ_0007_NFF,765R,-0.30,0.39,0.11
11774,1017257002,FR035_MR1292L_SJ_0015_NFF,1292L,0.07,-0.08,-0.45
11774,1017257002,FR035_MR1292R_SJ_0015_NFF,1292R,-0.07,-0.46,0.72
11774,1017257002,FR035_MR0254L_RJ_0001_NFF,254L,0.51,0.14,-1.61
11774,1017257002,FR035_MR0254R_RJ_0001_NFF,254R,-0.68,-0.76,-1.13
11774,1017257002,FR035_MR0765L_SJ_0007_NFF,765L,-0.05,-0.25,-0.22
11774,1017257002,FR035_MR0765R_SJ_0007_NFF,765R,-0.11,-0.70,-0.19
11779,1017211504,FR035_MR1292L_SJ_0015_NFF,1292L,0.15,1.22,-0.07
11779,1017211504,FR035_MR1292R_SJ_0015_NFF,1292R,-0.15,-0.64,0.49
11779,1017211504,FR035_MR0254L_RJ_0001_NFF,254L,0.63,1.23,0.14
11779,1017211504,FR035_MR0254R_RJ_0001_NFF,254R,-0.04,-2.40,-0.89
11779,1017211504,FR035_MR0765L_SJ_0007_NFF,765L,0.21,-0.01,0.28
11779,1017211504,FR035_MR0765R_SJ_0007_NFF,765R,-0.63,-1.23,-0.79
11780,1017221263,FR035_MR1292L_SJ_0015_NFF,1292L,-0.44,-0.25,0.22
11780,1017221263,FR035_MR1292R_SJ_0015_NFF,1292R,0.44,-0.80,-0.51
11780,1017221263,FR035_MR0254L_RJ_0001_NFF,254L,-0.65,1.46,-1.58
11780,1017221263,FR035_MR0254R_RJ_0001_NFF,254R,-0.65,0.17,-2.05
11780,1017221263,FR035_MR0765L_SJ_0007_NFF,765L,-0.32,1.01,-0.75
11780,1017221263,FR035_MR0765R_SJ_0007_NFF,765R,-0.35,1.45,-0.25
11783,1017818516,FR035_MR1292L_SJ_0015_NFF,1292L,0.00,0.78,0.87
11783,1017818516,FR035_MR1292R_SJ_0015_NFF,1292R,0.00,-0.86,-0.36
11783,1017818516,FR035_MR0254L_RJ_0001_NFF,254L,-1.98,1.16,-2.12
11783,1017818516,FR035_MR0254R_RJ_0001_NFF,254R,-1.27,-0.67,-2.20
11783,1017818516,FR035_MR0765L_SJ_0007_NFF,765L,-2.21,0.08,0.88
11783,1017818516,FR035_MR0765R_SJ_0007_NFF,765R,-1.01,-0.09,0.28
11786,1017460826,FR035_MR1292L_SJ_0015_NFF,1292L,-0.32,-0.08,0.84
11786,1017460826,FR035_MR1292R_SJ_0015_NFF,1292R,0.32,-0.38,0.10
11786,1017460826,FR035_MR0254L_RJ_0001_NFF,254L,0.54,0.32,-1.54
11786,1017460826,FR035_MR0254R_RJ_0001_NFF,254R,0.59,-1.22,-2.79
11786,1017460826,FR035_MR0765L_SJ_0007_NFF,765L,0.00,-0.08,0.52
11786,1017460826,FR035_MR0765R_SJ_0007_NFF,765R,-0.02,-1.20,-0.25
11790,1017239197,FR035_MR1292L_SJ_0015_NFF,1292L,0.10,0.59,1.20
